Scenario,Model,Time_sec,F1_fail_train,Recall_fail_train,Precision_fail_train,F1_macro_train,ROC_AUC_train,PR_AUC_train,Brier_Score_train,F1_fail_val,Recall_fail_val,Precision_fail_val,F1_macro_val,ROC_AUC_val,PR_AUC_val,Brier_Score_val,F1_fail_test,Recall_fail_test,Precision_fail_test,F1_macro_test,ROC_AUC_test,PR_AUC_test,Brier_Score_test
1_NoAugmentation,XGBoost,0.3161,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0005,0.0833,0.0476,0.3333,0.5235,0.6946,0.1900,0.0640,0.0000,0.0000,0.0000,0.4818,0.7892,0.2352,0.0606
1_NoAugmentation,LightGBM,0.2288,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.2069,0.1429,0.3750,0.5842,0.6902,0.1461,0.0726,0.0870,0.0476,0.5000,0.5261,0.7515,0.1798,0.0619
1_NoAugmentation,RandomForest,0.2668,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0113,0.0000,0.0000,0.0000,0.4827,0.6953,0.2109,0.0609,0.0000,0.0000,0.0000,0.4827,0.7860,0.2086,0.0583
2_SMOTE_10pct,XGBoost,0.5062,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0004,0.0769,0.0476,0.2000,0.5185,0.6919,0.1610,0.0644,0.0000,0.0000,0.0000,0.4827,0.8027,0.2072,0.0615
2_SMOTE_10pct,LightGBM,0.2357,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.1290,0.0952,0.2000,0.5419,0.7071,0.1267,0.0751,0.1667,0.0952,0.6667,0.5668,0.8053,0.2146,0.0614
2_SMOTE_10pct,RandomForest,0.2793,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0115,0.0000,0.0000,0.0000,0.4827,0.6589,0.1692,0.0652,0.0000,0.0000,0.0000,0.4827,0.7912,0.2741,0.0581
3_SMOTE_33pct,XGBoost,0.4559,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0003,0.1379,0.0952,0.2500,0.5481,0.7177,0.2078,0.0719,0.0800,0.0476,0.2500,0.5209,0.7392,0.1849,0.0610
3_SMOTE_33pct,LightGBM,0.2843,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0001,0.1176,0.0952,0.1538,0.5336,0.6592,0.1631,0.0801,0.1667,0.0952,0.6667,0.5668,0.7357,0.2261,0.0636
3_SMOTE_33pct,RandomForest,0.3861,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0151,0.0800,0.0476,0.2500,0.5209,0.7013,0.1421,0.0761,0.0000,0.0000,0.0000,0.4818,0.7668,0.1679,0.0690
4_SMOTE_50pct,XGBoost,0.4825,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0003,0.1290,0.0952,0.2000,0.5419,0.6735,0.1246,0.0748,0.1667,0.0952,0.6667,0.5668,0.7517,0.2341,0.0609
4_SMOTE_50pct,LightGBM,0.3157,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.1333,0.0952,0.2222,0.5449,0.6714,0.1543,0.0770,0.0870,0.0476,0.5000,0.5261,0.7229,0.1383,0.0653
4_SMOTE_50pct,RandomForest,0.4486,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0149,0.0769,0.0476,0.2000,0.5185,0.6403,0.1099,0.0832,0.0000,0.0000,0.0000,0.4818,0.7481,0.1300,0.0730
