Feature,Mean_|SHAP|,Mean_SHAP,Effect_Direction
419,0.28180817,-0.0030351253,Fail riskini AZALTIR
33,0.25745332,-0.046679854,Fail riskini AZALTIR
59,0.2487502,-0.08777981,Fail riskini AZALTIR
486,0.2474376,-0.12920804,Fail riskini AZALTIR
213,0.21884024,-0.11348356,Fail riskini AZALTIR
511,0.21859722,-0.003415808,Fail riskini AZALTIR
95,0.20071483,-0.0050439723,Fail riskini AZALTIR
561,0.19508319,-0.07250541,Fail riskini AZALTIR
281,0.1833413,-0.084530935,Fail riskini AZALTIR
129,0.16544655,0.0,Fail riskini AZALTIR
