Model,Rank,Sensor,Mean_Abs_SHAP
XGBoost,1,59,0.8406625986099243
XGBoost,2,419,0.36507993936538696
XGBoost,3,130,0.335090309381485
XGBoost,4,460,0.3054681122303009
XGBoost,5,486,0.27534162998199463
XGBoost,6,377,0.237594872713089
XGBoost,7,16,0.23419536650180817
XGBoost,8,433,0.18482312560081482
XGBoost,9,67,0.18203246593475342
XGBoost,10,563,0.176596537232399
XGBoost,11,90,0.1708538830280304
XGBoost,12,33,0.16564339399337769
XGBoost,13,281,0.16057519614696503
XGBoost,14,254,0.15930570662021637
XGBoost,15,423,0.15917830169200897
XGBoost,16,118,0.1522330492734909
XGBoost,17,19,0.14375992119312286
XGBoost,18,124,0.14004455506801605
XGBoost,19,35,0.13687041401863098
XGBoost,20,0,0.13654285669326782
LightGBM,1,59,1.2610416256217403
LightGBM,2,486,0.758374510981487
LightGBM,3,419,0.7051563438160887
LightGBM,4,130,0.5931300587696341
LightGBM,5,377,0.5137069826442529
LightGBM,6,460,0.4603539609655011
LightGBM,7,433,0.40306249006188366
LightGBM,8,33,0.34838343963750773
LightGBM,9,90,0.3395601624538886
LightGBM,10,19,0.3065295294205239
LightGBM,11,254,0.30378379899507635
LightGBM,12,213,0.30170309047399363
LightGBM,13,280,0.2835548442023377
LightGBM,14,16,0.2822545592721388
LightGBM,15,118,0.2787944473043759
LightGBM,16,56,0.27265167299963533
LightGBM,17,438,0.26611994870793854
LightGBM,18,91,0.26142473238521374
LightGBM,19,15,0.2613779614890394
LightGBM,20,124,0.26108348003797166
