Threshold,TP,FN,FP,TN,Recall_fail,Precision_fail,F1_fail
0.1,92,12,879,584,0.8846153846153846,0.09474768280123584,0.17116279069767443
0.15,84,20,656,807,0.8076923076923077,0.11351351351351352,0.1990521327014218
0.2,76,28,513,950,0.7307692307692307,0.12903225806451613,0.21933621933621933
0.25,67,37,398,1065,0.6442307692307693,0.14408602150537633,0.23550087873462214
0.3,52,52,309,1154,0.5,0.1440443213296399,0.22365591397849463
0.35,44,60,235,1228,0.4230769230769231,0.15770609318996415,0.2297650130548303
0.4,39,65,174,1289,0.375,0.18309859154929578,0.24605678233438485
0.45,32,72,129,1334,0.3076923076923077,0.19875776397515527,0.24150943396226415
0.5,30,74,90,1373,0.28846153846153844,0.25,0.26785714285714285
